,Classifiers,batch,score,time,confusion_matrix
0,Logistic Regression,100,0.5625277086246291,0.15059733390808105,"[[4796   29  391    1    8    4  327    4    0    0]
 [  41 3152 1991  265  137   80  814   23  107   45]
 [  40  103 5089  212    6    4  387   43    1    3]
 [   9   25 3575 1850   46   32   52  214    3   13]
 [  54    6  172   20 5052    0  364   32    0   22]
 [  13   12 2417  411  429 1717  331  141    2   66]
 [  30   57  834    0    6  226 4704    0    1    0]
 [   0  110  205  156  380    8    1 5122    0  115]
 [1056  161 1901   45  363  214  502  169  844  440]
 [ 264   41  398  330 3389    2   17  707    1  664]]"
1,Logistic Regression,200,0.6094703816117041,0.1655559539794922,"[[4927   38   52    8   14    7  489    6   12    7]
 [   1 3232  154  169  366   10 2345   25  193  160]
 [  31   90 5037  140   12    6  439  115    7   11]
 [  22   16 2675 2121  236   28  266  404    4   47]
 [  16    7    5    0 5278    0  261   21    2  132]
 [  24   10  799  478  684 1846 1051  500   29  118]
 [  71  101    0    0   24  211 5432    0   19    0]
 [   0  100   64  112  417    1    5 5106    1  291]
 [1510  146  248   31  412   53  878  211 1201 1005]
 [ 169   42   50   86 3552    0   44  304    3 1563]]"
2,Logistic Regression,300,0.6400266002796441,0.1545863151550293,"[[4969   24   34   10   13    6  484    5   11    4]
 [   1 3109  104  231  389    7 2394   46  278   96]
 [  33   52 4790   58   10    4  734  187   15    5]
 [  29   14 1058 3679  174   34  468  338    5   20]
 [  26    6    2    3 5291    0  293   26    3   72]
 [  27   11  238  843  592 2217 1141  380   59   31]
 [  84   72    0    0   18  202 5415    0   67    0]
 [   0   85   30  266  406    1   12 5121    5  171]
 [1945  115   88   50  420   42  766  262 1403  604]
 [ 228   37   12  137 3492    0   47  315    4 1541]]"
3,Logistic Regression,400,0.6401630119701258,0.14761090278625488,"[[4974   16   33    9   36    6  468    5   12    1]
 [   6 2972   98  250  748    1 2030   47  394  109]
 [  31   26 4805   51   23    4  723  208   12    5]
 [  23   10  753 3893  427   33  375  272    5   28]
 [  29    6    3    3 5390    0  223   19    4   45]
 [  19   19  140  757  778 2262  905  281  357   21]
 [  72   66    1    0   18  104 5450    0  147    0]
 [   0   67   25  379  667    1    7 4659   11  281]
 [1683   99   85   30  717   30  701  206 1583  561]
 [ 169   27    5  133 3673    0   19  222   10 1555]]"
4,Logistic Regression,500,0.6616308017597108,0.15757465362548828,"[[4971    8   45   18   50    6  437   11   10    4]
 [  16 2889   99  292 1142    3 1557   64  451  142]
 [  31   25 4877   68   31    5  554  283   10    4]
 [  20    8  644 3927  554   33  161  426    5   41]
 [  29    7    3    1 5417    0  189   22    4   50]
 [  15   13  149  825  916 2469  655  268  206   23]
 [  77   44    0    0   27  120 5451    0  139    0]
 [   0   67   23  157  574    1    2 4962   12  299]
 [1411   80   96   31  837   42  611  264 1551  772]
 [ 127   29    5  126 2948    0   12  265   13 2288]]"
5,Logistic Regression,600,0.6927156157282679,0.17253875732421875,"[[4949    6  110   18   45    6  397   11   14    4]
 [  18 2848  163  278  813   20 1660   46  489  320]
 [  25   28 5326   54   23    2  239  171   13    7]
 [  12    9 1091 3798  350   29   69  354    4  103]
 [  29    6    9    1 5375    0  198   21    5   78]
 [  15   12  310 1004  774 2543  544  233   64   40]
 [  67   46    0    0   22  194 5450    0   79    0]
 [   0   75   35   90  339    2    1 5052   10  493]
 [1154   78  195   30  565   48  615  209 1717 1084]
 [  95   31   12  127 1708    0   15  246   12 3567]]"
6,Logistic Regression,700,0.6926985642669576,0.1575791835784912,"[[4965    6  159   26   46    6  323   11   15    3]
 [  36 2847  445  264 1082   36 1180   85  496  184]
 [  27   31 5409   57   21    2  101  221   17    2]
 [  11    9 1285 3410  380   31   31  622    4   36]
 [  33    6   17    0 5414    0  170   30    6   46]
 [  13   12  414  993  800 2587  408  235   53   24]
 [  75   43    5    0   40  231 5425    0   39    0]
 [   0   83   35   27  417    2    0 5363   16  154]
 [1011   78  310   37  618   49  485  306 1909  892]
 [  92   31   27  123 1885    0    7  338   15 3295]]"
7,Logistic Regression,800,0.708368857211063,0.1605668067932129,"[[4978    5  144   38   37    9  320   11   13    5]
 [  28 2935  367  301  769   43 1419   94  438  261]
 [  30   26 5388   63   25    2  101  236   15    2]
 [   9    8 1078 3699  320   36   34  574    4   57]
 [  33    5   17    1 5396    0  172   31    5   62]
 [  15   10  342 1055  715 2682  430  220   34   36]
 [  84   44   12    1   48  225 5412    0   32    0]
 [   0   74   31   41  367    4    0 5374   10  196]
 [ 995   73  224   46  490   78  593  317 1817 1062]
 [  90   30   21  130 1343    0    7  317   13 3862]]"
8,Logistic Regression,900,0.718412167922791,0.17353487014770508,"[[4995    6  180   32   54   15  251    7   14    6]
 [  13 3002  551  242  704   17 1126   57  441  502]
 [  34   28 5462   68   22    3   69  181   15    6]
 [  11    8 1193 3624  289   44   24  474    4  148]
 [  33    6   26    1 5388    0  146   22    6   94]
 [  18   11  397  901  680 2933  319  167   46   67]
 [  91   43   25    0   82  166 5383    0   68    0]
 [   0   80   37   33  305    2    0 5106   18  516]
 [ 993   78  271   40  453   64  503  192 1866 1235]
 [  74   35   19  113  948    0    5  225   21 4373]]"
9,Logistic Regression,1000,0.7245847969170958,0.18051648139953613,"[[5001    6  185   37   58   20  225    5   17    6]
 [   9 2996  625  237  627   17 1059   50  465  570]
 [  37   33 5434   92   22    5   59  186   14    6]
 [  11    8 1135 3704  277   50   21  455    4  154]
 [  32    7   35    1 5378    0  132   19    7  111]
 [  20   12  374  831  636 3181  231  144   45   65]
 [ 104   44   60    0   96  158 5318    0   78    0]
 [   0   83   37   31  289    2    0 5088   20  547]
 [ 995   76  260   46  427   75  461  168 1927 1260]
 [  74   36   20  117  869    0    4  206   20 4467]]"
